condition,series,probe_probability,seed,detection_latency,recovery_latency,recovery_latency_censored,recovery_failed,off_threshold,on_threshold,false_active_fraction,false_passive_fraction
estimator_yoked,influence,,751019,89.0,625.0,625.0,0,0.40726206725268527,1.2217862017580559,0.0,0.0
estimator_yoked,influence,,751020,70.0,651.0,651.0,0,0.40726206725268527,1.2217862017580559,0.0,0.0
estimator_yoked,influence,,751021,55.0,610.0,610.0,0,0.40726206725268527,1.2217862017580559,0.0,0.0
estimator_yoked,influence,,751022,55.0,659.0,659.0,0,0.40726206725268527,1.2217862017580559,0.0,0.0
estimator_yoked,influence,,751023,57.0,672.0,672.0,0,0.40726206725268527,1.2217862017580559,0.0,0.0
estimator_yoked,influence,,751024,76.0,616.0,616.0,0,0.40726206725268527,1.2217862017580559,0.0,0.0
estimator_yoked,influence,,751025,46.0,654.0,654.0,0,0.40726206725268527,1.2217862017580559,0.0,0.0
estimator_yoked,influence,,751026,72.0,581.0,581.0,0,0.40726206725268527,1.2217862017580559,0.0,0.0
estimator_yoked,influence,,751027,52.0,645.0,645.0,0,0.40726206725268527,1.2217862017580559,0.0,0.0
estimator_yoked,influence,,751028,79.0,625.0,625.0,0,0.40726206725268527,1.2217862017580559,0.0,0.0
estimator_yoked,influence,,751029,64.0,594.0,594.0,0,0.40726206725268527,1.2217862017580559,0.0,0.0
post_initial_probe_0.00,vigor,0.0,751000,228.0,nan,1500.0,1,0.25,0.75,,
post_initial_probe_0.00,vigor,0.0,751001,185.0,nan,1500.0,1,0.25,0.75,,
post_initial_probe_0.00,vigor,0.0,751002,288.0,nan,1500.0,1,0.25,0.75,,
post_initial_probe_0.00,vigor,0.0,751003,261.0,nan,1500.0,1,0.25,0.75,,
post_initial_probe_0.00,vigor,0.0,751004,223.0,nan,1500.0,1,0.25,0.75,,
post_initial_probe_0.00,vigor,0.0,751005,280.0,nan,1500.0,1,0.25,0.75,,
post_initial_probe_0.00,vigor,0.0,751006,288.0,nan,1500.0,1,0.25,0.75,,
post_initial_probe_0.00,vigor,0.0,751007,218.0,nan,1500.0,1,0.25,0.75,,
post_initial_probe_0.00,vigor,0.0,751008,233.0,nan,1500.0,1,0.25,0.75,,
post_initial_probe_0.00,vigor,0.0,751009,247.0,nan,1500.0,1,0.25,0.75,,
post_initial_probe_0.00,vigor,0.0,751010,236.0,nan,1500.0,1,0.25,0.75,,
post_initial_probe_0.00,vigor,0.0,751011,246.0,nan,1500.0,1,0.25,0.75,,
post_initial_probe_0.00,vigor,0.0,751012,231.0,nan,1500.0,1,0.25,0.75,,
post_initial_probe_0.00,vigor,0.0,751013,396.0,nan,1500.0,1,0.25,0.75,,
post_initial_probe_0.00,vigor,0.0,751014,266.0,nan,1500.0,1,0.25,0.75,,
post_initial_probe_0.00,vigor,0.0,751015,296.0,nan,1500.0,1,0.25,0.75,,
post_initial_probe_0.00,vigor,0.0,751016,183.0,nan,1500.0,1,0.25,0.75,,
post_initial_probe_0.00,vigor,0.0,751017,275.0,nan,1500.0,1,0.25,0.75,,
post_initial_probe_0.00,vigor,0.0,751018,310.0,nan,1500.0,1,0.25,0.75,,
post_initial_probe_0.00,vigor,0.0,751019,284.0,nan,1500.0,1,0.25,0.75,,
post_initial_probe_0.00,vigor,0.0,751020,233.0,nan,1500.0,1,0.25,0.75,,
post_initial_probe_0.00,vigor,0.0,751021,299.0,nan,1500.0,1,0.25,0.75,,
post_initial_probe_0.00,vigor,0.0,751022,219.0,nan,1500.0,1,0.25,0.75,,
post_initial_probe_0.00,vigor,0.0,751023,221.0,nan,1500.0,1,0.25,0.75,,
post_initial_probe_0.00,vigor,0.0,751024,194.0,nan,1500.0,1,0.25,0.75,,
post_initial_probe_0.00,vigor,0.0,751025,251.0,nan,1500.0,1,0.25,0.75,,
post_initial_probe_0.00,vigor,0.0,751026,256.0,nan,1500.0,1,0.25,0.75,,
post_initial_probe_0.00,vigor,0.0,751027,269.0,nan,1500.0,1,0.25,0.75,,
post_initial_probe_0.00,vigor,0.0,751028,215.0,nan,1500.0,1,0.25,0.75,,
post_initial_probe_0.00,vigor,0.0,751029,263.0,nan,1500.0,1,0.25,0.75,,
post_initial_probe_0.03,vigor,0.03,751000,87.0,57.0,57.0,0,0.25,0.75,,
post_initial_probe_0.03,vigor,0.03,751001,138.0,142.0,142.0,0,0.25,0.75,,
post_initial_probe_0.03,vigor,0.03,751002,85.0,64.0,64.0,0,0.25,0.75,,
post_initial_probe_0.03,vigor,0.03,751003,84.0,61.0,61.0,0,0.25,0.75,,
post_initial_probe_0.03,vigor,0.03,751004,89.0,111.0,111.0,0,0.25,0.75,,
post_initial_probe_0.03,vigor,0.03,751005,54.0,53.0,53.0,0,0.25,0.75,,
