condition,seed,phase_index,phase_name,coupling,n_transitions,mean_influence,mean_true_information,mean_blind_nll,median_blind_nll,mean_aware_nll,median_aware_nll,mean_loss_advantage,median_loss_advantage,mean_dummy_advantage,mean_shuffled_advantage,mean_wrong_lag_advantage,mean_dummy_influence,mean_shuffled_influence,mean_wrong_lag_influence,mean_blind_squared_error,mean_aware_squared_error,evidence_clipped_fraction,variance_floor_fraction,sensory_variance,action_variance,action_energy,mean_action_energy,probe_action_energy,nonprobe_action_energy,mean_vigor,mean_homeostatic_squared_error,probe_fraction,action_outcome_correlation,partial_action_outcome_correlation
estimator_disconnected,751000,0,connected_initial,connected,750,1.5766312537565288,1.6290482690107413,1.4628616794581466,1.206520936231038,-0.1387498021684506,-0.41882869240240206,1.6016114816265972,1.5919336712869685,0.00010811743953118125,0.00037107509263037354,-0.0025441491818667837,0.0002185031699119692,0.0006616103194382206,-0.0024474910499372162,1.0857232780511676,0.04377412478625041,0.0,0.0,3.120908347699488,1.0338927597150718,774.3859684714105,1.0325146246285473,0.0,774.3859684714105,1.0,4.13427222505579,0.0,0.5897360599821847,0.9804123754108309
estimator_disconnected,751000,1,disconnected,disconnected,750,-0.004887010077608494,0.0,-0.15354460706363612,-0.42721271482746487,-0.1520009105605023,-0.4221690466691003,-0.0015436965031338221,-0.00420410488662365,-0.0017782269880374528,-0.00047145028014829117,-0.0005571400887328962,-0.0017873821529946017,-0.0014098621748615517,-0.0006169033644298758,0.04275176453689765,0.042888365752171365,0.0,0.0,0.1095895274037257,0.9611459599225264,722.3133240974604,0.9630844321299472,0.0,722.3133240974604,1.0,1.1592814097132769,0.0,0.004977290649747071,-0.013642684801174278
estimator_disconnected,751000,2,connected_restored,connected,750,1.5790753077575481,1.6290482690107413,1.433228750535097,1.183974913681955,-0.16291071224766107,-0.4223607245698431,1.5961394627827579,1.597663967013473,-0.0001634142505019104,-0.001923149583172059,0.0005067757369564466,-0.0009993082789629794,-0.0013592539649006513,0.00020563298743255212,1.0236178746157045,0.04184226235638584,0.0,0.0,2.650172001023226,0.9790591505300253,733.3185950007186,0.9777581266676247,0.0,733.3185950007186,1.0,3.6629415330720563,0.0,0.5728209782666126,0.9800761244715714
estimator_disconnected,751001,0,connected_initial,connected,750,1.5813248199350067,1.6290482690107413,1.4525732866866863,1.1852766891075506,-0.16398021418325923,-0.417927689456445,1.6165535008699456,1.601158545436013,1.6936970101339542e-05,0.0028713754125396537,0.0012631327807080726,0.000980940858154623,0.002213570926869676,0.00031427323006620047,1.063686144440288,0.04211948244683263,0.0,0.0,2.645683000037368,1.0210517452613292,764.8311833787925,1.0197749111717234,0.0,764.8311833787925,1.0,3.662039179197894,0.0,0.5851806435349451,0.9806491411839658
estimator_disconnected,751001,1,disconnected,disconnected,750,-0.006753506683070103,0.0,-0.17516146311352515,-0.44362871849383023,-0.1752010859953876,-0.4353297320040045,3.962288186242535e-05,-0.0035253830820640153,0.0016083479489536565,-4.488521212904883e-06,0.0021025659813685023,0.00061379297175445,-0.00043293347534072515,0.0027252747190903348,0.04099214514236248,0.04093686774242254,0.0,0.0,0.12680663610900259,0.9654050933853803,723.4339359341454,0.9645785812455272,0.0,723.4339359341454,1.0,1.100003520690743,0.0,-0.012978335690101839,-0.0018395453459172206
estimator_disconnected,751001,2,connected_restored,connected,750,1.5513386886526643,1.6290482690107413,1.428803543289417,1.1483300236121026,-0.1554701720418788,-0.40216377102198064,1.5842737153312958,1.5489579870456862,0.0044140466284256635,-0.0011374733464171191,-0.000750715132342991,0.0036778180285154914,-0.0006677048018435402,-0.0010999903141292794,1.014061576852921,0.042596033976403096,0.0,0.0,3.1049689506463634,0.985383805802098,740.44298620269,0.98725731493692,0.0,740.44298620269,1.0,4.633061142639538,0.0,0.5952438465803527,0.9794916366824521
estimator_disconnected,751002,0,connected_initial,connected,750,1.595048019684134,1.6290482690107413,1.4452404626171071,1.1647957982869683,-0.18620994400568908,-0.4180265139782229,1.6314504066227964,1.6152182993309459,-0.0013102918130392723,-0.00134685986211436,-0.000735315056652992,-0.000836271671878411,-0.0018934074372489768,-0.0001590549812640205,1.0479397646768815,0.03998171195357173,0.0,0.0,2.8650116806319192,1.0012673529828036,750.0807826596238,1.0001077102128317,0.0,750.0807826596238,1.0,3.801478589548077,0.0,0.5883866569138938,0.9814122187806391
estimator_disconnected,751002,1,disconnected,disconnected,750,-0.009759125788699202,0.0,-0.18323240689173093,-0.4380346500812845,-0.1802692546481112,-0.4358620162742715,-0.0029631522436197096,-0.005351068123203906,0.0032216286790072235,-0.0020420045419912475,-0.0015186615789136635,0.0038577006585754164,-0.0015863241152726216,-0.00029285087309352244,0.040270108568426076,0.04052083142266605,0.0,0.0,0.09715080130428606,1.0830284242241064,812.9908233658584,1.0839877644878113,0.0,812.9908233658584,1.0,1.1600497566292918,0.0,-0.002743224003285316,0.006774190240533366
estimator_disconnected,751002,2,connected_restored,connected,750,1.633351717253918,1.6290482690107413,1.465974748847193,1.1922552064232719,-0.19405781340280479,-0.41143770380165734,1.660032562249998,1.6518322204586973,0.0017961276303502356,0.0014396966709088737,0.00046090243280774896,0.002295252505910472,0.0015076531296864695,0.0004956289379643511,1.090456795351623,0.03943632449949293,0.0,0.0,3.2050903343325334,1.0519475678601171,788.4749836817575,1.0512999782423433,0.0,788.4749836817575,1.0,4.368497383059786,0.0,0.5861893896102051,0.9821479220454926
estimator_disconnected,751003,0,connected_initial,connected,750,1.6033708414190708,1.6290482690107413,1.4595764541315257,1.2077316446301583,-0.15700503381367606,-0.41687894052119867,1.6165814879452016,1.6393156869211392,0.0022127327393286567,0.002045061441347745,0.0006850177219947882,0.0025220146968808112,0.0015634794020929672,0.001030372030688206,1.0829511658631232,0.042586058669584086,0.0,0.0,3.0662625000861294,1.0306211977660367,772.1852246915719,1.0295802995887624,0.0,772.1852246915719,1.0,3.9182950525010227,0.0,0.5745514768160896,0.9809886388393946
